country,continent,temperature_celsius
Afghanistan,Asia,18.07
Albania,Europe,21.25
Algeria,Africa,24.83
Andorra,Europe,10.83
Angola,Africa,22.0
Antigua and Barbuda,America,28.5
Argentina,America,12.42
Armenia,Asia,23.75
Australia,Australia,9.92
Austria,Europe,15.83
Azerbaijan,Asia,24.38
Bahamas,America,29.73
Bahrain,Asia,34.08
Bangladesh,Asia,28.63
Barbados,America,28.33
Belarus,Europe,12.92
Belgium,Europe,16.25
Belize,America,29.33
Benin,Africa,25.75
Bhutan,Asia,11.77
Bolivia,America,23.01
Bosnia and Herzegovina,Europe,15.5
Botswana,Africa,15.66
Brazil,America,30.64
Brunei Darussalam,Asia,26.67
Bulgaria,Europe,18.97
Burkina Faso,Africa,25.96
Burundi,Africa,22.7
Cambodia,Asia,27.67
Cameroon,Africa,18.02
Canada,America,22.33
Cape Verde,Atlantic,27.0
Central African Republic,Africa,23.68
Chad,Africa,26.48
Chile,America,12.33
China,Asia,23.42
Comoros,Indian,21.92
Congo,Africa,25.51
Costa Rica,America,23.17
Croatia,Europe,16.5
Cuba,America,29.92
Cyprus,Asia,25.08
Czech Republic,Europe,15.58
Democratic Republic of Congo,Africa,25.46
Denmark,Europe,15.5
Djibouti,Africa,33.14
Dominica,America,28.12
Dominican Republic,America,28.25
Ecuador,America,13.82
Egypt,Africa,28.17
El Salvador,America,28.25
Equatorial Guinea,Africa,24.48
Eritrea,Africa,19.03
Estonia,Europe,13.92
Ethiopia,Africa,14.0
Fiji Islands,Pacific,26.58
Finland,Europe,13.25
France,Europe,19.33
Gabon,Africa,25.47
Gambia,Africa,25.5
Georgia,Asia,22.17
Germany,Europe,14.83
Ghana,Africa,25.5
Greece,Europe,25.0
Grenada,America,28.92
Guatemala,America,21.68
Guinea,Africa,26.31
Guinea-Bissau,Africa,25.82
Guyana,America,27.17
Haiti,America,29.69
Honduras,America,26.9
Hungary,Europe,15.58
Iceland,Atlantic,9.98
India,Asia,28.78
Indonesia,Asia,22.84
Iran,Asia,26.92
Iraq,Asia,31.92
Ireland,Europe,14.25
Israel,Asia,26.17
Italy,Europe,20.92
Jamaica,America,31.25
Japan,Asia,28.42
Jordan,Asia,24.75
Kazakhstan,Asia,11.17
Kenya,Africa,17.3
Kiribati,Pacific,28.91
Kuwait,Asia,34.97
Kyrghyzstan,Asia,16.45
Latvia,Europe,13.67
Lebanon,Asia,27.75
Lesotho,Africa,11.38
Liberia,Africa,24.78
Liechtenstein,Europe,16.0
Lithuania,Europe,14.17
Luxembourg,Europe,15.92
Macedonia,Europe,18.92
Madagascar,Indian,16.46
Malawi,Africa,18.25
Malaysia,Asia,25.75
Maldives,Indian,27.18
Mali,Africa,24.83
Malta,Europe,23.92
Marshall Islands,Pacific,29.94
Mauritania,Africa,28.08
Mauritius,Indian,21.67
Mexico,America,21.67
Micronesia,Pacific,29.25
Monaco,Europe,22.33
Mongolia,Asia,12.08
Montenegro,Europe,22.83
Morocco,Africa,19.92
Mozambique,Africa,19.53
Myanmar,Asia,25.79
Namibia,Africa,17.25
Nepal,Asia,22.0
Netherlands,Europe,16.92
New Zealand,Pacific,13.92
Nicaragua,America,30.68
Niger,Africa,28.5
Nigeria,Africa,24.33
North Korea,Asia,21.43
Norway,Europe,13.17
Oman,Asia,30.0
Pakistan,Asia,26.59
Palau,Pacific,28.25
Panama,America,28.75
Papua New Guinea,Pacific,26.78
Paraguay,America,28.89
Peru,America,18.35
Philippines,Asia,27.25
Poland,Europe,15.17
Portugal,Europe,19.58
Qatar,Asia,34.08
Romania,Europe,20.42
Russia,Asia,15.16
Russia,Europe,12.83
Rwanda,Africa,20.17
Saint Kitts and Nevis,America,28.83
Saint Lucia,America,28.08
Saint Vincent and the Grenadines,America,28.92
Samoa,Pacific,30.0
San Marino,Europe,19.75
Saudi Arabia,Asia,31.42
Senegal,Africa,27.35
Serbia,Europe,18.17
Seychelles Islands,Indian,26.54
Sierra Leone,Africa,25.42
Singapore,Asia,27.83
Slovakia,Europe,16.17
Slovenia,Europe,14.17
Solomon Islands,Pacific,28.52
Somalia,Africa,24.85
South Africa,Africa,15.0
South Korea,Asia,23.33
Spain,Europe,20.58
Sri Lanka,Asia,26.0
Sudan,Africa,29.09
Suriname,America,27.88
Swaziland,Africa,13.28
Sweden,Europe,13.58
Switzerland,Europe,14.75
Syria,Asia,22.5
Tajikistan,Asia,19.75
Tanzania,Africa,19.55
Thailand,Asia,26.96
Timor-Leste,Asia,22.2
Tonga,Pacific,25.08
Trinidad and Tobago,America,27.67
Tunisia,Africa,24.5
Turkey,Europe,21.46
Turkmenistan,Asia,23.42
Tuvalu,Pacific,30.97
Uganda,Africa,20.55
Ukraine,Europe,15.33
United Arab Emirates,Asia,33.92
United Kingdom,Europe,17.17
United States of America,America,25.32
Uruguay,America,11.75
Uzbekistan,Asia,19.75
Vanuatu,Pacific,25.64
Vatican City,Europe,20.92
Venezuela,America,28.67
Vietnam,Asia,26.92
Yemen,Asia,19.16
Zambia,Africa,18.83
Zimbabwe,Africa,15.48
