country,continent,temperature_celsius,temperature_fahrenheit,wind_mph,wind_kph,pressure_mb,pressure_in,precip_mm,precip_in,humidity,cloud,feels_like_celsius,feels_like_fahrenheit,visibility_km,visibility_miles,uv_index,gust_mph,gust_kph,air_quality_Carbon_Monoxide,air_quality_Ozone,air_quality_Nitrogen_dioxide,air_quality_Sulphur_dioxide,air_quality_PM2.5,air_quality_PM10,air_quality_us-epa-index,air_quality_gb-defra-index
Afghanistan,Asia,18.07,64.52,2.62,4.26,1009.83,29.82,0.05,0.0,33.58,16.08,17.9,64.23,10.0,6.0,1.92,3.6,5.79,918.48,64.82,7.41,0.59,14.63,25.68,1.33,1.58
Albania,Europe,21.25,70.25,4.26,6.87,1013.33,29.92,0.38,0.02,73.42,41.67,21.95,71.5,10.0,6.0,1.42,9.23,14.88,247.0,48.79,4.46,0.54,7.98,10.49,1.17,1.33
Algeria,Africa,24.83,76.7,5.6,9.01,1014.08,29.94,0.53,0.02,68.42,33.33,26.36,79.45,9.29,5.5,1.5,12.53,20.17,273.28,65.93,18.44,4.16,18.72,82.01,1.25,1.92
Andorra,Europe,10.83,51.51,3.4,5.49,1019.92,30.11,0.1,0.0,72.25,22.92,10.39,50.71,9.25,5.5,1.25,5.78,9.33,172.74,53.42,1.47,0.38,4.3,12.45,1.0,1.08
Angola,Africa,22.0,71.6,5.48,8.82,1014.5,29.96,0.01,0.0,87.67,54.17,23.38,74.08,9.0,5.0,1.42,9.76,15.69,589.96,65.76,7.45,4.45,19.17,37.55,1.25,1.75
Antigua and Barbuda,America,28.5,83.3,7.21,11.57,1014.0,29.94,0.07,0.0,76.67,42.67,32.64,90.76,10.0,6.0,1.42,19.44,31.29,209.87,33.85,0.8,0.76,3.19,7.76,1.0,1.0
Argentina,America,12.42,54.35,8.11,13.05,1016.58,30.02,0.03,0.0,71.5,14.58,11.36,52.45,10.0,6.0,1.0,11.52,18.53,467.02,28.23,24.02,8.11,5.53,7.57,1.08,1.08
Armenia,Asia,23.75,74.75,6.0,9.66,1011.83,29.88,0.0,0.0,42.42,4.17,24.27,75.67,10.0,6.0,1.92,10.78,17.38,201.82,49.05,3.35,0.48,5.36,9.38,1.08,1.17
Australia,Australia,9.92,49.85,9.52,15.29,1018.75,30.08,0.02,0.0,66.17,25.0,9.01,48.25,10.0,6.0,3.17,7.83,12.61,228.78,34.76,4.32,0.55,3.15,4.67,1.0,1.08
Austria,Europe,15.83,60.5,5.88,9.45,1018.33,30.07,0.01,0.0,76.83,10.42,15.88,60.56,10.0,6.0,1.25,8.34,13.44,422.67,24.94,23.31,2.31,9.78,12.4,1.08,1.42
Azerbaijan,Asia,24.38,75.88,8.59,13.82,1012.17,29.89,0.0,0.0,68.92,14.0,26.13,79.02,10.0,6.0,1.5,12.98,20.91,241.72,67.81,7.05,1.07,9.04,27.56,1.25,1.33
Bahamas,America,29.73,85.52,10.24,16.52,1013.83,29.94,0.0,0.0,69.42,50.67,36.14,97.07,10.0,6.0,6.17,16.87,27.15,236.86,77.45,1.35,1.52,4.2,9.52,1.0,1.08
Bahrain,Asia,34.08,93.35,6.13,9.85,1001.67,29.58,0.0,0.0,66.75,0.0,44.06,111.34,9.04,5.25,1.67,10.49,16.85,350.76,147.22,7.01,13.86,51.73,104.44,2.92,5.67
Bangladesh,Asia,28.63,83.53,5.18,8.31,1003.17,29.63,0.09,0.0,78.0,58.08,33.18,91.74,9.92,5.92,2.08,7.91,12.73,791.34,23.1,20.27,8.65,58.45,66.06,2.92,6.08
Barbados,America,28.33,83.0,11.92,19.21,1012.25,29.89,0.18,0.01,82.5,35.42,32.34,90.2,10.0,6.0,1.42,18.93,30.46,257.71,20.88,3.86,1.58,3.01,7.62,1.0,1.0
Belarus,Europe,12.92,55.25,4.32,6.89,1018.42,30.07,0.21,0.01,92.67,5.17,12.58,54.66,9.42,5.58,1.42,11.9,19.18,228.37,44.27,5.2,2.07,4.61,5.42,1.0,1.0
Belgium,Europe,16.25,61.25,3.68,5.9,1016.62,30.02,0.22,0.01,86.96,15.62,16.01,60.83,9.26,5.42,1.33,10.35,16.66,274.54,41.31,19.59,3.16,15.22,20.63,1.42,1.79
Belize,America,29.33,84.8,6.16,9.9,1010.25,29.83,0.13,0.0,80.5,44.25,33.7,92.67,9.92,5.92,6.08,9.27,14.92,234.5,18.77,0.28,0.28,2.31,2.53,1.0,1.0
Benin,Africa,25.75,78.35,10.42,16.75,1013.83,29.94,2.07,0.08,90.25,45.83,29.02,84.24,9.27,5.42,1.42,11.89,19.14,509.87,32.54,2.47,1.26,8.52,15.28,1.0,1.08
Bhutan,Asia,11.77,53.17,3.59,5.79,1012.92,29.91,0.14,0.0,89.0,47.75,11.46,52.62,7.83,4.58,1.58,6.25,10.08,340.74,21.78,1.08,0.17,8.48,9.75,1.0,1.17
Bolivia,America,23.01,73.4,5.13,8.28,1008.92,29.79,0.29,0.01,44.92,24.46,23.13,73.63,9.83,5.83,1.21,7.46,12.0,312.03,24.22,0.72,0.22,7.96,9.16,1.21,1.42
Bosnia and Herzegovina,Europe,15.5,59.9,3.9,6.3,1018.25,30.07,0.53,0.02,89.75,29.17,15.86,60.53,9.75,5.83,1.42,7.37,11.88,186.92,32.48,3.0,3.3,8.4,9.74,1.08,1.17
Botswana,Africa,15.66,60.18,6.03,9.69,1021.58,30.17,0.0,0.0,36.75,0.5,15.62,60.11,10.0,6.0,1.33,8.27,13.32,435.59,49.96,9.32,1.99,20.72,26.22,1.67,2.58
Brazil,America,30.64,87.16,3.33,5.38,1007.75,29.76,0.0,0.0,34.67,13.17,30.44,86.81,10.0,6.0,1.0,6.8,10.96,338.79,37.99,0.34,0.32,4.51,6.67,1.0,1.0
Brunei Darussalam,Asia,26.67,80.0,4.41,7.05,1009.5,29.81,0.29,0.01,94.67,75.0,30.52,86.94,9.42,5.5,5.75,6.24,10.08,342.7,22.33,3.49,1.69,3.69,4.0,1.0,1.0
Bulgaria,Europe,18.97,66.14,4.55,7.31,1016.44,30.01,0.2,0.01,64.22,39.58,18.96,66.13,9.92,5.94,1.56,7.69,12.37,238.43,49.78,3.2,0.87,7.68,9.07,1.03,1.08
Burkina Faso,Africa,25.96,78.72,6.11,9.78,1013.08,29.92,0.36,0.01,82.33,35.58,28.23,82.8,9.75,5.75,1.5,13.57,21.84,1015.27,6.02,6.45,2.35,32.52,52.81,2.25,3.67
Burundi,Africa,22.7,72.87,3.64,5.88,1013.67,29.93,0.11,0.0,63.58,34.75,23.79,74.84,9.75,5.75,1.5,4.08,6.57,783.58,21.92,5.94,0.87,36.46,78.79,2.42,4.0
Cambodia,Asia,27.67,81.8,4.46,7.17,1005.33,29.69,0.09,0.0,89.08,60.42,31.2,88.18,9.42,5.42,6.25,9.08,14.64,576.07,15.21,5.53,2.46,11.93,18.96,1.33,1.92
Cameroon,Africa,18.02,64.45,2.91,4.68,1015.5,29.99,1.58,0.06,95.33,69.08,18.19,64.75,5.58,3.17,1.33,4.88,7.86,652.0,7.12,3.33,0.57,15.03,21.87,1.33,1.83
Canada,America,22.33,72.2,7.71,12.38,1012.08,29.88,0.0,0.0,72.67,47.92,23.79,74.8,24.0,14.0,5.42,10.98,17.66,263.28,48.76,3.78,0.52,7.08,7.52,1.17,1.25
Cape Verde,Atlantic,27.0,80.6,9.32,14.98,1012.33,29.89,0.2,0.01,84.42,41.67,30.81,87.42,9.33,5.5,1.5,14.17,22.8,243.81,38.1,1.32,0.28,8.71,36.04,1.17,1.42
Central African Republic,Africa,23.68,74.62,2.67,4.32,1013.25,29.92,0.51,0.02,92.08,38.92,26.16,79.09,7.92,4.42,1.5,4.08,6.58,366.06,0.23,0.56,0.18,5.39,7.32,1.17,1.17
Chad,Africa,26.48,79.67,6.04,9.72,1011.08,29.85,0.01,0.0,82.92,12.25,28.6,83.47,8.0,4.42,1.5,12.39,19.95,613.63,12.73,1.91,0.86,15.33,21.12,1.42,1.75
Chile,America,12.33,54.2,6.71,10.8,1017.75,30.05,0.04,0.0,73.75,60.42,12.61,54.63,9.25,5.5,1.17,4.16,6.69,4281.36,7.52,62.48,17.78,314.3,377.95,5.0,9.92
China,Asia,23.42,74.15,3.1,4.97,1012.92,29.91,0.25,0.01,87.5,8.33,24.48,76.02,6.5,3.5,5.67,4.34,7.0,1655.58,14.66,48.77,62.56,274.25,311.32,5.25,9.42
Comoros,Indian,21.92,71.45,5.81,9.32,1016.25,30.01,0.27,0.01,78.33,21.83,22.8,73.01,10.0,6.0,1.33,9.37,15.09,236.3,47.74,0.44,0.34,3.78,7.73,1.0,1.0
Congo,Africa,25.51,77.92,5.98,9.58,1013.75,29.94,0.22,0.01,65.5,27.83,26.88,80.38,9.0,5.0,1.58,10.02,16.11,569.66,31.8,2.51,0.58,10.62,23.47,1.25,1.42
Costa Rica,America,23.17,73.7,7.52,12.12,1015.5,29.99,0.98,0.04,79.58,75.0,25.37,77.64,9.21,5.5,4.17,4.06,6.52,537.67,22.02,18.15,14.16,17.99,19.05,1.58,2.08
Croatia,Europe,16.5,61.7,3.6,5.79,1017.42,30.04,0.0,0.0,85.42,14.58,16.78,62.19,10.0,6.0,1.42,6.24,10.03,268.15,37.38,9.62,0.38,8.9,10.98,1.08,1.25
Cuba,America,29.92,85.85,9.56,15.37,1012.17,29.89,0.09,0.0,72.08,48.92,38.48,101.23,8.83,4.83,5.92,19.43,31.25,299.02,57.09,7.78,21.49,6.74,10.19,1.08,1.17
Cyprus,Asia,25.08,77.15,7.3,11.73,1008.58,29.78,0.0,0.0,73.33,14.58,27.04,80.68,10.0,6.0,1.58,8.08,13.02,250.08,69.8,2.17,2.6,17.65,28.24,1.5,2.08
Czech Republic,Europe,15.58,60.05,6.08,9.78,1018.75,30.09,0.15,0.01,79.0,27.08,15.42,59.73,10.0,6.0,1.17,7.45,12.0,335.47,22.52,18.42,3.23,13.33,17.16,1.42,1.58
Democratic Republic of Congo,Africa,25.46,77.83,5.83,9.35,1013.75,29.94,0.14,0.01,65.67,30.67,26.86,80.32,8.92,4.92,1.58,9.22,14.84,569.66,31.8,2.51,0.58,10.62,23.47,1.25,1.42
Denmark,Europe,15.5,59.9,6.31,10.13,1017.42,30.04,0.18,0.01,85.92,29.17,15.18,59.29,10.0,6.0,1.33,12.81,20.57,250.91,58.44,6.36,1.38,7.37,9.23,1.08,1.17
Djibouti,Africa,33.14,91.67,5.68,9.12,1004.08,29.65,0.02,0.0,56.75,19.75,39.59,103.26,9.75,5.75,2.17,12.23,19.67,323.49,55.8,1.12,0.96,30.92,74.42,2.08,3.67
Dominica,America,28.12,82.62,5.02,8.07,1013.92,29.94,0.19,0.01,86.17,58.67,32.01,89.58,10.0,6.0,1.5,14.06,22.64,244.92,25.21,2.19,0.32,2.64,6.03,1.0,1.0
Dominican Republic,America,28.25,82.85,4.49,7.18,1013.08,29.91,0.0,0.0,86.33,50.0,33.32,91.98,10.0,6.0,1.58,7.51,12.07,596.93,15.29,22.93,11.3,11.05,17.62,1.08,1.33
Ecuador,America,13.82,56.88,4.46,7.16,1014.42,29.95,0.73,0.03,66.75,59.58,13.59,56.47,9.58,5.67,3.08,6.65,10.68,2227.47,23.05,84.02,37.11,29.72,32.98,2.17,3.25
Egypt,Africa,28.17,82.7,6.45,10.37,1010.17,29.83,0.0,0.0,58.17,8.33,29.29,84.71,9.0,5.25,1.0,12.27,19.73,251.59,61.6,12.65,12.32,20.84,43.71,1.67,2.33
El Salvador,America,28.25,82.85,5.77,9.23,1011.5,29.86,0.28,0.01,77.17,35.42,34.88,94.79,10.0,6.0,5.17,4.43,7.13,409.72,54.64,5.16,9.25,17.72,20.38,1.58,2.0
Equatorial Guinea,Africa,24.48,76.05,6.33,10.2,1014.25,29.95,1.69,0.07,90.42,62.92,26.9,80.42,8.83,5.08,1.42,9.79,15.77,414.74,42.55,0.08,0.11,3.04,3.37,1.0,1.0
Eritrea,Africa,19.03,66.24,3.68,5.95,1012.5,29.9,0.07,0.0,62.42,32.0,19.01,66.21,9.92,5.92,1.42,5.89,9.52,247.14,38.93,0.86,0.37,22.84,71.19,1.75,2.5
Estonia,Europe,13.92,57.05,6.05,9.72,1014.83,29.97,0.01,0.0,90.08,35.0,12.98,55.34,8.4,5.0,1.33,14.09,22.68,227.12,59.12,2.55,1.2,3.59,4.09,1.0,1.0
Ethiopia,Africa,14.0,57.2,4.9,7.86,1023.42,30.22,0.28,0.01,86.75,50.58,14.39,57.87,9.75,5.83,1.17,4.82,7.77,2039.99,18.58,8.29,2.62,73.66,219.62,3.17,6.5
Fiji Islands,Pacific,26.58,79.85,11.06,17.81,1016.5,30.02,0.07,0.0,72.17,59.33,29.38,84.92,10.0,6.0,5.33,14.49,23.31,191.23,52.47,0.99,1.78,3.29,9.02,1.0,1.0
Finland,Europe,13.25,55.85,5.71,9.15,1014.42,29.96,0.03,0.0,93.5,37.5,12.28,54.1,9.67,5.75,1.33,13.16,21.18,264.39,43.78,6.51,1.83,5.72,7.84,1.08,1.08
France,Europe,19.33,66.8,4.41,7.11,1016.08,30.0,0.16,0.01,76.42,31.25,19.37,66.86,10.0,6.0,1.42,8.19,13.2,789.12,38.27,24.8,3.75,44.92,51.38,2.08,3.58
